Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                                                                                         |Код KKS документа                                                            |Пакет РД                                      |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                         |Разработчики РД (актуальные)   |
1391 | 00UYH.E.EEE.D-1240      |Электрическое освещение в осях 13/22-A/J                                                                                                                                                                  |AKU.1227.00UYH.0.EW.TB0003                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-01-25> на <2022-01-19>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1392 | 00UYH.J.JJJ.D-1250      |Система автоматизации                                                                                                                                                                                     |AKU.1227.00UYH.0.AT.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-01-18> на <2022-01-13>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1393 | 00UYH.J.JJJ.D-1270      |Система связи                                                                                                                                                                                             |AKU.1227.00UYH.0.SS.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-02-25> на <2022-02-22>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1394 | 00UYH.J.JJJ.D-1260      |Системы физической защиты                                                                                                                                                                                 |AKU.1227.00UYH.0.FZ.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-02-14> на <2022-02-10>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1395 | 00UYH.T.TTT.D-1150      |Внутренний водопровод и канализация в осях 1/10-A/F                                                                                                                                                       |AKU.1227.00UYH.0.WK.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-02-14> на <2022-01-28>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1396 | 00UYH.T.TTT.D-1160      |Внутренний водопровод и канализация в осях 10/13-A/S                                                                                                                                                      |AKU.1227.00UYH.0.WK.TB0002                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-02-14> на <2022-01-28>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1397 | 00UYH.T.TTT.D-1170      |Внутренний водопровод и канализация в осях 13/22-A/J                                                                                                                                                      |AKU.1227.00UYH.0.WK.TB0003                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-02-14> на <2022-01-27>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1398 | 00UYH.T.TTT.D-1190      |Системы вентиляция                                                                                                                                                                                        |AKU.1227.00UYH.0.HV.TB0002                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-02-21> на <2022-01-28>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1399 | 00UYH.T.TTT.D-1180      |Системы отопления и кондиционирования                                                                                                                                                                     |AKU.1227.00UYH.0.HV.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-02-21> на <2022-01-28>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |JV=>Титан-2=>SEP=>ЭСТ          |
1400 | 00UYH.T.TTT.D-1200      |Технологические решения                                                                                                                                                                                   |AKU.1480.00UYH.0.TH.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-29> на <в производстве>|Титан-2=>ЭСТ                   |
1401 | 01UYX.E.B00.D-1050      |Задание заводу изготовителю (0,4 кВ)                                                                                                                                                                      |AKU.1480.01UYX.0.ET.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C02)> |Смена текущая ревизия с <C01> на <C02>                    |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>          |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-03> на <2023-02-10>|Смена ожидаемая дата выдачи рд в производство с <2022-12-30> на <в производстве>|Титан-2=>ТП                    |
1402 | 01UYX.E.B00.D-1030      |Заземление и молниезащита                                                                                                                                                                                 |AKU.1227.01UYX.0.EM.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-05-07> на <2022-04-06>|-                                                                               |JV=>Титан-2=>SEP=>ЭСТ          |
1403 | 01UYX.E.B00.D-1020      |Силовое электрооборудование                                                                                                                                                                               |AKU.1480.01UYX.0.EM.TB0002                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <ВК - (rev.C03)>                 |Смена текущая ревизия с <C01> на <C03>                    |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-09> на <2023-02-13>|Смена ожидаемая дата выдачи рд в производство с <2022-11-30> на <в производстве>|JV=>Титан-2=>SEP=>ЭСТ          |
1404 | 01UYX.E.B00.D-1040      |Электрическое освещение                                                                                                                                                                                   |AKU.1480.01UYX.0.EW.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <(rev.C02)>                      |Смена текущая ревизия с <C01> на <C02>                    |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <JV to Akkuyu Nuclear / JV в Аккую Нуклеар>                                 |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-28> на <NaT>       |Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|JV=>Титан-2=>SEP=>ЭСТ          |
1405 | 01UYX.J.JJJ.D-1020      |Автоматизация пожарная                                                                                                                                                                                    |AKU.1480.01UYX.0.AP.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <ВК - (rev.C02)>                 |Смена текущая ревизия с <C01> на <C02>                    |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <JV to Akkuyu Nuclear / JV в Аккую Нуклеар>                                 |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-02> на <2023-02-01>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|Титан-2=>ТП                    |
1406 | 01UYX.E.EEE.D-1000      |Наружные сети связи                                                                                                                                                                                       |AKU.1227.01UYX.0.SS.TB0001                                                   |-                                             |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-05-31> на <2022-05-24>|-                                                                               |JV=>Титан-2=>SEP=>ЭСТ          |
1407 | 01UYX.J.JJJ.D-1060      |СКУ МПУ ОС. Задание заводу на ПТК. 1 этап                                                                                                                                                                 |AKU.1480.01UYX.0.AT.EC0001                                                   |-                                             |Смена статус заказчика с <ВК + (rev.C01)> на <ЗЗИ передан в ДО (rev.C01)>     |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-27> на <2022-11-15>|-                                                                               |Титан-2=>ТП                    |
1408 | 01UYX.J.JJJ.D-1080      |СКУ МПУ ОС. Задание заводу на ПТК. 2 этап                                                                                                                                                                 |AKU.1480.01UYX.0.AT.EC0002                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-31> на <2022-10-25>|-                                                                               |Титан-2=>ТП                    |
1409 | 01UYX.J.JJJ.D-1010      |СКУ ПЗ. Задание заводу на ПТК. 1 этап                                                                                                                                                                     |AKU.1480.01UYX.CYE.AP.EC0001                                                 |-                                             |Смена статус заказчика с <(rev.C01)> на <ВК + (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <JV to Akkuyu Nuclear / JV в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-01> на <2023-02-02>|Смена ожидаемая дата выдачи рд в производство с <2022-12-01> на <в производстве>|Титан-2=>ТП                    |
1410 | 01UYX.J.JJJ.D-1070      |СКУ ПЗ. Задание заводу на ПТК. 2 этап                                                                                                                                                                     |AKU.1480.01UYX.CYE.AP.EC0002                                                 |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-06-21> на <NaT>       |Смена ожидаемая дата выдачи рд в производство с <2022-12-24> на <2023-04-24>    |Титан-2=>ТП                    |
1411 | 01UYX.T.SG0.D-1010      |Автоматическая система пожаротушения (АУПТ)                                                                                                                                                               |AKU.1480.01UYX.0.PT.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-08> на <2023-01-20>|Смена ожидаемая дата выдачи рд в производство с <2022-11-21> на <в производстве>|JV=>Титан-2=>SEP=>ЭСТ          |
1412 | 01UYX.T.G00.D-1000      |Внутренние системы водоснабжения и канализации                                                                                                                                                            |AKU.1227.01UYX.0.WK.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C02)> на <ВК + (rev.C02)>                 |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>          |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-10-24> на <2022-11-21>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |JV=>Титан-2=>SEP=>ЭСТ          |
1413 | 01UYX.T.XJ0.A-1000      |Дизельная электростанция. Монтажные чертежи трубопроводов                                                                                                                                                 |AKU.1227.01UYX.0.ER.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2021-12-06> на <2021-11-23>|-                                                                               |JV=>Титан-2=>SEP=>ЭСТ          |
1414 | 01UYX.T.SAU.A-1000      |Отопление, вентиляция и кондиционирование воздуха                                                                                                                                                         |AKU.1480.01UYX.0.HV.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-08-31> на <2022-08-18>|-                                                                               |JV=>Титан-2=>SEP=>ЭСТ          |
1415 | 02UYX.E.S00.D-1020      |Аварийный центр                                                                                                                                                                                           |-                                                                            |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-11-29>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-30> на <2023-04-11>    |Титан-2=>АЭП                   |
1416 | 02UYX.E.B00.D-1140      |Журнал силовых кабелей                                                                                                                                                                                    |AKU.0783.02UYX.0.EM.MB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>          |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-10-25> на <2023-01-06>|Смена ожидаемая дата выдачи рд в производство с <2022-11-14> на <в производстве>|Титан-2=>АЭП                   |
1417 | 02UYX.E.B00.D-1050      |Кабельные соединения ТТК                                                                                                                                                                                  |AKU.0783.02UYX.0.AK.MA0002                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>          |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-11-07> на <2022-12-19>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|Титан-2=>АЭП                   |
1418 | 02UYX.E.B00.D-1130      |Компоновочные чертежи электрооборудования                                                                                                                                                                 |AKU.0783.02UYX.0.EM.TB0003                                                   |-                                             |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-09-19> на <2023-01-06>|-                                                                               |Титан-2=>АЭП                   |
1419 | 02UYX.E.B00.D-1010      |Перечень измерительных контуров ТТК                                                                                                                                                                       |AKU.0783.02UYX.0.AK.PC0001                                                   |-                                             |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>    |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <2022-10-14> на <2022-12-13>|-                                                                               |Титан-2=>АЭП                   |
1420 | 02UYX.E.B00.D-1060      |Схемы автоматизации                                                                                                                                                                                       |AKU.0783.02UYX.0.AK.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-10-27> на <2022-12-26>|Смена ожидаемая дата выдачи рд в производство с <2022-11-16> на <в производстве>|Титан-2=>АЭП                   |
1421 | 02UYX.E.B00.D-1080      |Схемы внешних присоединений к шкафам автоматики                                                                                                                                                           |AKU.0783.02UYX.0.AK.MA0001                                                   |-                                             |Смена статус заказчика с <ВК + (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-10-21> на <2022-12-19>|-                                                                               |Титан-2=>АЭП                   |
1422 | 02UYX.E.B00.D-1090      |Схемы электрических соединений 0,4 кВ                                                                                                                                                                     |AKU.0783.02UYX.0.ET.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>          |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-10-25> на <2022-12-19>|Смена ожидаемая дата выдачи рд в производство с <2022-11-14> на <в производстве>|Титан-2=>АЭП                   |
1423 | 02UYX.E.B00.D-1030      |Трубные соединения ТТК                                                                                                                                                                                    |AKU.0783.02UYX.0.AK.MA0003                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>          |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-10-14> на <2023-01-05>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|Титан-2=>АЭП                   |
1424 | 02UYX.E.B00.D-1120      |Электрическое освещение и розеточная сеть                                                                                                                                                                 |AKU.0783.02UYX.0.EW.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>          |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-11-02> на <2022-12-19>|Смена ожидаемая дата выдачи рд в производство с <2022-11-14> на <в производстве>|Титан-2=>АЭП                   |
1425 | 02UYX.E.B00.D-1100      |Электротехнические чертежи заземления                                                                                                                                                                     |AKU.0783.02UYX.0.EM.TB0001                                                   |-                                             |Смена статус заказчика с <ВК - (rev.C01)> на <Выдан в производство (rev.C01)> |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2022-08-25>      |-                                                                     |Смена дата статуса заказчика с <2022-11-01> на <2023-01-06>|Смена ожидаемая дата выдачи рд в производство с <2022-11-12> на <в производстве>|Титан-2=>АЭП                   |
1426 | 02UYX.E.S00.D-1070      |Оборудование телекоммуникационной транспортной сети                                                                                                                                                       |AKU.0783.02UYX.CYK.SS.TB0001                                                 |-                                             |Смена статус заказчика с <(rev.C01)> на <ВК + (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2022-11-29>      |-                                                                     |Смена дата статуса заказчика с <2022-11-01> на <2023-01-31>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|АЭП                            |
1427 | 02UYX.E.S00.D-1040      |Система оперативной громкоговорящей и телефонной связи                                                                                                                                                    |AKU.0783.02UYX.CYB.SS.TB0001                                                 |-                                             |Смена статус заказчика с <(rev.C01)> на <ВК + (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2022-11-29>      |-                                                                     |Смена дата статуса заказчика с <2022-11-01> на <2023-01-31>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|АЭП                            |
1428 | 02UYX.E.S00.D-1050      |Система оповещения и поиска персонала                                                                                                                                                                     |AKU.0783.02UYX.CYC.SS.TB0001                                                 |-                                             |Смена статус заказчика с <(rev.C01)> на <ВК + (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2022-11-29>      |-                                                                     |Смена дата статуса заказчика с <2022-11-01> на <2022-12-12>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|АЭП                            |
1429 | 02UYX.E.S00.D-1080      |Система радиосвязи                                                                                                                                                                                        |AKU.0783.02UYX.CYS.SS.TB0001                                                 |-                                             |Смена статус заказчика с <(rev.C01)> на <ВК + (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                 |Смена дата выпуска рд по договору подрядчика с <None> на <2022-11-29>      |-                                                                     |Смена дата статуса заказчика с <2022-11-01> на <2023-01-31>|Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <в производстве>|Титан-2=>АЭП                   |
