
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
1379	10UJA.J.CY0.D-2800	 | 	ПТК СКУ ЭЧ ЭБ. Схема структурная комплекса технических средств
1380	10UJA.J.CY0.D-2820	 | 	МПУ. Перечень объектов управления. Запорная арматура
1381	10UJA.J.CY0.D-2830	 | 	МПУ. Перечень объектов управления. Механизмы
1382	10UJA.J.CY0.D-2840	 | 	МПУ. Перечень объектов управления. Регулирующая арматура
1383	10UJA.J.CYE.D-1000	 | 	СКУ ПЗ Пожарная сигнализация
1384	10UJA.J.CYE.D-1010	 | 	СКУ ПЗ Оповещение о пожаре
1385	10UJA.J.CYE.D-1020	 | 	СКУ ПЗ. Системы вентиляции
1386	10UJA.J.CYE.D-1030	 | 	СКУ ПЗ. Газовое пожаротушение
1387	10UJA.J.CYE.D-1040	 | 	СКУ ПЗ. Автоматическое пожаротушение тонкораспыленной водой
1388	10UJA.J.CYE.D-1050	 | 	СКУ ПЗ. Схемы заполнения. Внешние присоединения к НКУ
1389	10UJA.J.CYE.D-1060	 | 	СКУ ПЗ. Задание на программное обеспечение технических средств СКУ ПЗ
1390	10UJA.J.CYE.D-1070	 | 	СКУ ПЗ. Газовое пожаротушение. Журнал контрольных кабелей
1391	10UJA.J.CYE.D-1080	 | 	СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей
1392	10UJA.J.CYE.D-1090	 | 	СКУ ПЗ. Автоматическое пожаротушение тонкораспыленной водой. Журнал контрольных кабелей
1393	10UJA.J.CYE.D-1100	 | 	СКУ ПЗ. Задание заводу на сборки 0.38 кВ
1394	10UJA.J.CYE.D-2410	 | 	СКУ ПЗ. Автоматическое пожаротушение тонкораспыленной водой. Журнал силовых кабелей
1395	10UJA.J.CYE.D-2420	 | 	СКУ ПЗ. Система верхнего уровня
1396	10UJA.R.CFU.D-1000	 | 	Перечень измерительных контуров РК
1397	10UJA.R.CFU.D-1010	 | 	Трассы пробоотборных трубопроводов РК
1398	10UJA.R.CFU.D-1020	 | 	Компоновка оборудования РК
1399	10UJA.R.CFU.D-1030	 | 	Кабельные соединения РК. Перечень кабельных соединений РК
1400	10UJA.R.CFU.D-1040	 | 	Кабельные журналы РК. Журнал контрольных кабелей РК. 1 Канал СБ. 5 группа раскладки
1401	10UJA.R.CFU.D-1050	 | 	Кабельные журналы РК. Журнал контрольных кабелей РК. 2 Канал СБ. 5 группа раскладки
1402	10UJA.R.CFU.D-1060	 | 	Кабельные журналы РК. Журнал контрольных кабелей РК. 1 Канал СБ. 6 группа раскладки
1403	10UJA.R.CFU.D-1070	 | 	Кабельные журналы РК. Журнал контрольных кабелей РК. 2 Канал СБ. 6 группа раскладки
1404	10UJA.R.CFU.D-1080	 | 	Кабельные журналы РК. Журнал контрольных кабелей РК. Нормальная эксплуатация
1405	10UJA.R.CFU.D-1090	 | 	Транспортно-технологическая схема обращения с твердыми радиоактивными отходами
1406	10UJA.T.KBC.D-1060	 | 	Трубопроводы системы дистиллята (Арматура)
1407	10UJA.T.KBC.D-1070	 | 	(10UKA). Трубопроводы системы дистиллята (Арматура)
1408	10UJA.T.KTC.D-1070	 | 	Трубопроводы системы сбора боросодержащих вод
1409	10UJA.T.KTC.D-1120	 | 	Трубопроводы системы сбора боросодержащих вод (Арматура)
1410	10UKC.E.B00.D-1000	 | 	Сварочная сеть
1411	10UKC.E.B00.D-1010	 | 	Компоновочный чертеж электрооборудования
1412	10UKC.E.B00.D-1020	 | 	Схемы электрические сборок 0.4 кВ лаборатории
1413	10UKC.E.B00.D-1030	 | 	Электрические схемы щитов 0.4 кВ
1414	10UKC.E.B00.D-1040	 | 	Электрические схемы сборок 0.4 кВ
1415	10UKC.E.B00.D-1050	 | 	КРУ 0.38 кВ. Секция 10BFN. Таблицы внешних подключений
1416	10UKC.E.B00.D-1060	 | 	Электрические схемы щитов 0.4 кВ. Задание заводу
1417	10UKC.E.B00.D-1070	 | 	Электрические схемы сборок 0.4 кВ. Задание заводу
1418	10UKC.E.BA1.D-1000	 | 	Электрические схемы щитов 0.4 кВ. Журнал силовых кабелей
1419	10UKC.E.BA1.D-1010	 | 	Электрические схемы сборок 0.4 кВ. Журнал силовых кабелей
1420	10UKC.E.BA1.D-1020	 | 	Схемы электрические сборок 0.4 кВ лаборатории. Журнал силовых кабелей
1421	10UKC.E.BA1.D-1030	 | 	Сварочная сеть. Журнал силовых кабелей
1422	10UKC.E.BAU.D-1010	 | 	Чертежи заземления
1423	10UKC.E.BJ0.D-1080	 | 	Электрическое освещение и розеточная сеть на отм. 0.000
1424	10UKC.E.BJ0.D-1090	 | 	Однолинейные схемы сетей освещения
1425	10UKC.E.BJ0.D-1100	 | 	Электрическое освещение лестниц в осях 3-5
1426	10UKC.E.BJ0.D-2000	 | 	Электрическое освещение и розеточная сеть на отм. -5.400
1427	10UKC.E.BJ0.D-2010	 | 	Однолинейные схемы сетей освещения. Журнал силовых кабелей
1428	10UKC.E.BJ0.D-2020	 | 	Электрическое освещение и розеточная сеть на отм. +4.800
1429	10UKC.E.BJ0.D-2030	 | 	Электрическое освещение и розеточная сеть на отм. +8.400
1430	10UKC.E.BJ0.D-2040	 | 	Электрическое освещение и розеточная сеть на отм. +12.000
1431	10UKC.E.BJ0.D-2050	 | 	Электрическое освещение и розеточная сеть на отм. +15.900
1432	10UKC.E.BJ0.D-2060	 | 	Электрическое освещение и розеточная сеть на отм. +19.500
1433	10UKC.E.BJ0.D-2070	 | 	Электрическое освещение и розеточная сеть на отм. +23.400 и +24.900
1434	10UKC.E.BJ0.D-2080	 | 	Электрическое освещение и розеточная сеть на отм. +26.700;+29.100
1435	10UKC.E.BJ0.D-2100	 | 	Электрическое освещение лестниц в осях 1-3
1436	10UKC.E.CA1.D-1000	 | 	КРУ 0.38 кВ. Журнал контрольных кабелей
1437	10UKC.J.BA1.D-1000	 | 	МПУ. СКУ ОРАО. Журнал контрольных кабелей
1438	10UKC.J.C00.D-1010	 | 	Присоединения к ПТС ПТК СКУ РО
1439	10UKC.J.C00.D-1020	 | 	Присоединения к НКУ НЭ РО
1440	10UKC.J.C00.D-1030	 | 	Перечень объектов управления. Регулирующая арматура. ПТК СКУ РО
1441	10UKC.J.C00.D-1040	 | 	Перечень объектов управления. Электродвигатели. ПТК СКУ РО
1442	10UKC.J.C00.D-1050	 | 	Перечень объектов управления. Запорная арматура. ПТК СКУ РО
1443	10UKC.J.C00.D-1060	 | 	Присоединения к кроссовым шкафам ПТК СКУ РО. Аналоговые сигналы
1444	10UKC.J.C00.D-1070	 | 	Присоединения к ПТС ПТК СКУ СВО
1445	10UKC.J.C00.D-1080	 | 	Присоединения к НКУ НЭ СВО
1446	10UKC.J.C00.D-1090	 | 	Перечень объектов управления. Регулирующая арматура. ПТК СКУ СВО
1447	10UKC.J.C00.D-1100	 | 	Перечень объектов управления. Электродвигатели. ПТК СКУ СВО
1448	10UKC.J.C00.D-1110	 | 	Перечень объектов управления. Запорная арматура. ПТК СКУ СВО
1449	10UKC.J.C00.D-1120	 | 	Присоединения к кроссовым шкафам ПТК СКУ СВО (Аналоговые сигналы)
1450	10UKC.J.C00.D-1140	 | 	ПТК СКУ РО, СВО, В. Схема структурная комплекса технических средств
1451	10UKC.J.C00.D-1150	 | 	Внешние присоединения для оборудования СВБУ
1452	10UKC.J.C00.D-1160	 | 	Кабельный журнал для оборудования СВБУ
1453	10UKC.J.C00.D-1170	 | 	Схемы питания МПУ вторичных преобразователей КИП
1454	10UKC.J.C00.D-1180	 | 	Схемы подключения кабелей к шкафам МПУ вторичных преобразователей КИП
